CharPathIndex;Path;K2001 Characteristic number;K2003 Characteristic abbreviation;K2004 Direction;K2006 Control item;K2008 Grouping type;K2011 Distribution;K2021 Formula;K2022 Decimal places;K2100 Set value;K2101 Nominal value;K2110 Lower limit;K2111 Upper limit;K2112 Lower allowance;K2113 Upper allowance;K2120 Lower limit type;K2121 Upper limit type;K2142 Unit;K2297 Alignment;K2298 Location;K2299 Orientation;K2342 Module;K2403 Gage group;K2540 Direction X;K2541 Direction Y;K2542 Direction Z;K2543 Position X;K2544 Position Y;K2545 Position Z;K2546 Diameter;K2547 Length;K2548 Length2;K2549 Angle;K2805 Audit function;K8012 Lower control limit;K8013 Upper control limit;K8014 Lower warning limit;K8015 Upper warning limit;K8500 Subgroup size;K8501 Subgroup type;K12004 Characteristic type;K12005 Measured value catalog;K12009 Characteristic Specification
"1";"/Blechteil/Durchmesser_Kreis5";;;"0";"0";"";"0";;;;"0";"-0,2";"0,3";;;"0";"0";;"0";"0";"0";"Durchmesser";;"0";"0";"1";"2829";"0";"47,4627";;;;;"0";;;;;;;"0";;
"1";"/Blechteil/Durchmesser_Kreis6";;;"0";"0";"";"0";;;;"0";"-0,2";"0,3";;;"0";"0";;"0";"0";"0";"Durchmesser";;"0";"1";"0";"2922";"40,749";"66,5";;;;;"0";;;;;;;"0";;
"1";"/Blechteil/Durchmesser_Kreis7";;;"0";"0";"";"0";;;;"0";"-0,2";"0,3";;;"0";"0";;"0";"0";"0";"Durchmesser";;"0";"1";"0";"2922";"40,7669";"41,5";;;;;"0";;;;;;;"0";;
"1";"/Blechteil/Breite Langloch1";;;"4";"0";"";"0";;;;"0";"-0,1";"0,1";;;"0";"0";;"0";"0";"0";"k.A.";;"0";"0";"1";"2524,5";"128";"30,1277";;;;;"0";;;;;;;"0";;
"1";"/Blechteil/Breite Langloch2";;;"3";"0";"";"0";;;;"0";"-0,1";"0,1";;;"0";"0";;"0";"0";"0";"k.A.";;"0";"0";"1";"2524,5";"-128";"29,9389";;;;;"0";;;;;;;"0";;
"1";"/Blechteil/Breite Langloch3";;;"3";"0";"";"0";;;;"0";"-0,1";"0,1";;;"0";"0";;"0";"0";"0";"k.A.";;"0";"0";"1";"2692";"-135";"29,955";;;;;"0";;;;;;;"0";;
"1";"/Blechteil/Breite Langloch4";;;"4";"0";"";"0";;;;"0";"-0,1";"0,1";;;"0";"0";;"0";"0";"0";"k.A.";;"0";"0";"1";"2692";"135";"29,945";;;;;"0";;;;;;;"0";;
"1";"/Blechteil/DIN Ebenheit1";;;"0";"0";"";"0";;;;"0";"-0,2";"0,2";;;"0";"0";;"0";"0";"0";"k.A.";;"-0,063923";"0";"0,9979955";"2695,6393";"0,8417";"38,9204";;;;;"0";;;;;;;"0";;
"1";"/Blechteil/DIN Rundheit_Kreis6";;;"0";"0";"";"0";;;;"0";"-0,2";"0,2";;;"0";"0";;"0";"0";"0";"k.A.";;"0";"1";"0";"2922";"40,749";"66,5";;;;;"0";;;;;;;"0";;
"1";"/Blechteil/DIN Rundheit_Kreis7";;;"0";"0";"";"0";;;;"0";"-0,2";"0,2";;;"0";"0";;"0";"0";"0";"k.A.";;"0";"1";"0";"2922";"40,7669";"41,5";;;;;"0";;;;;;;"0";;
"1";"/Blechteil/Kurvenform1";;;"0";"0";"";"0";;;;"0";"-0,2";"0,2";;;"0";"0";;"0";"0";"0";"k.A.";;"-0,063923";"0";"0,997955";"2702,3744";"1,7716";"16,2897";;;;;"0";;;;;;;"0";;
"1";"/Blechteil/Wanddicke";;;"0";"0";"";"0";;;;"0";"-0,2";"0,2";;;"0";"0";;"0";"0";"0";"k.A.";;"0";"1";"0";"2904,9187";"44,5";"66,7083";;;;;"0";;;;;;;"0";;
"1";"/Blechteil/Länge Langloch1";;;"4";"0";"";"0";;;;"0";"-0,1";"0,1";;;"0";"0";;"0";"0";"0";"Länge";;"0";"0";"1";"2524,5";"128";"30,1277";;;;;"0";;;;;;;"0";;
"1";"/Blechteil/Länge Langloch2";;;"3";"0";"";"0";;;;"0";"-0,1";"0,1";;;"0";"0";;"0";"0";"0";"Länge";;"0";"0";"1";"2524,5";"-128";"29,9389";;;;;"0";;;;;;;"0";;
"1";"/Blechteil/Länge Langloch3";;;"3";"0";"";"0";;;;"0";"-0,1";"0,1";;;"0";"0";;"0";"0";"0";"Länge";;"0";"0";"1";"2692";"-135";"29,955";;;;;"0";;;;;;;"0";;
"1";"/Blechteil/Länge Langloch4";;;"4";"0";"";"0";;;;"0";"-0,1";"0,1";;;"0";"0";;"0";"0";"0";"Länge";;"0";"0";"1";"2692";"135";"29,9457";;;;;"0";;;;;;;"0";;
"1";"/Blechteil/X-Wert_Kreis1";;;"0";"0";"";"0";;;;"0";"-0,25";"0,3";;;"0";"0";;"0";"0";"0";"Position";;"0";"0";"1";"2603,8";"0";"33,0377";;;;;"0";;;;;;;"0";;
"1";"/Blechteil/X-Wert_Kreis2";;;"0";"0";"";"0";;;;"0";"-0,25";"0,3";;;"0";"0";;"0";"0";"0";"Position";;"0";"0";"1";"2643,8";"0";"35,5999";;;;;"0";;;;;;;"0";;
"1";"/Blechteil/X-Wert_Kreis3";;;"0";"0";"";"0";;;;"0";"-0,25";"0,3";;;"0";"0";;"0";"0";"0";"Position";;"0";"0";"1";"2749";"0";"42,3384";;;;;"0";;;;;;;"0";;
"1";"/Blechteil/X-Wert_Kreis4";;;"0";"0";"";"0";;;;"0";"-0,15";"0,3";;;"0";"0";;"0";"0";"0";"Position";;"0";"0";"1";"2789";"0";"44,9005";;;;;"0";;;;;;;"0";;
"1";"/Blechteil/X-Wert_Kreis5";;;"0";"0";"";"0";;;;"0";"-0,25";"0,3";;;"0";"0";;"0";"0";"0";"Position";;"0";"0";"1";"2829";"0";"47,4627";;;;;"0";;;;;;;"0";;
"1";"/Blechteil/Y-Wert_Kreis1";;;"0";"0";"";"0";;;;"0";"-0,15";"0,3";;;"0";"0";;"0";"0";"0";"Position";;"0";"0";"1";"2603,8";"0";"33,0377";;;;;"0";;;;;;;"0";;
"1";"/Blechteil/Y-Wert_Kreis2";;;"0";"0";"";"0";;;;"0";"-0,15";"0,3";;;"0";"0";;"0";"0";"0";"Position";;"0";"0";"1";"2643,8";"0";"35,5999";;;;;"0";;;;;;;"0";;
"1";"/Blechteil/Y-Wert_Kreis3";;;"0";"0";"";"0";;;;"0";"-0,15";"0,3";;;"0";"0";;"0";"0";"0";"Position";;"0";"0";"1";"2749";"0";"42,3384";;;;;"0";;;;;;;"0";;
"1";"/Blechteil/Y-Wert_Kreis4";;;"0";"0";"";"0";;;;"0";"-0,15";"0,3";;;"0";"0";;"0";"0";"0";"Position";;"0";"0";"1";"2789";"0";"44,9005";;;;;"0";;;;;;;"0";;
"1";"/Blechteil/Y-Wert_Kreis5";;;"0";"0";"";"0";;;;"0";"-0,15";"0,3";;;"0";"0";;"0";"0";"0";"Position";;"0";"0";"1";"2829";"0";"47,4627";;;;;"0";;;;;;;"0";;
